% header=SampleName	SampleID	Comments	AcqMethod	ProcMethod	RackCode	PlateCode	VialPos	SmplInjVol	DilutFact	WghtToVol	Type	RackPos	PlatePos	SetName	OutputFile
141104_Blank0			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Solvent	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_Blank1			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Solvent	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_Blank2			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Solvent	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_Blank3			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Solvent	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_Blank4			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Solvent	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_Blank5			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Solvent	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_11_OxicEvo04gndEvo01EPEcoli13CGlcM9_Filtrate-1-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	19	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141028_11_OxicEvo04gndEvo01EPEcoli13CGlcM9_Broth-1-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	20	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141028_11_OxicEvo04gndEvo01EPEcoli13CGlcM9_Broth-2-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	21	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141028_11_OxicEvo04gndEvo01EPEcoli13CGlcM9_Broth-3-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	22	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_11_OxicEvo04gndEvo01EPEcoli13CGlcM9_Filtrate-4-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	23	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
