experiment_id,time_point,sample_name_abbreviation,met_id,concentration,concentration_var,concentration_units,concentration_lb,concentration_ub,measured,used_,comment_
rpomut02,0,OxicRph-pyrE82,ac_e,,,M,1.00E-15,0.006,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,cl_e,,,M,1.00E-15,0.004139817,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,mg2_e,,,M,1.00E-15,0.001994416,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,cobalt2_e,,,M,1.00E-15,2.52175E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,etoh_e,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,ni2_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,lac_DASH_D_e,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,co2_e,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,for_e,,,M,1.00E-15,0.001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,ca2_e,,,M,1.00E-15,0.000100018,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,zn2_e,,,M,1.00E-15,6.9558E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,pi_e,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,o2_e,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,glc_DASH_D_e,,,M,1.00E-15,0.022202487,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,mn2_e,,,M,1.00E-15,5.91646E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,nh4_e,,,M,1.00E-15,0.001869473,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,cbl1_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,so4_e,,,M,1.00E-15,0.002123138,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,EDTA_e,,,M,1.00E-15,1.61186E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,cu2_e,,,M,1.00E-15,2.72083E-05,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,k_e,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,succ_e,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,mobd_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,h2o_e,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,na1_e,,,M,1.00E-15,0.010467979,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,fe2_e,,,M,1.00E-15,0.00001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,fe3_e,,,M,1.00E-15,0.000369959,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,fum_e,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,H2PO4_e,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,ac_e,,,M,1.00E-15,0.006,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,cl_e,,,M,1.00E-15,0.004139817,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,mg2_e,,,M,1.00E-15,0.001994416,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,cobalt2_e,,,M,1.00E-15,2.52175E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,etoh_e,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,ni2_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,lac_DASH_D_e,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,co2_e,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,for_e,,,M,1.00E-15,0.001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,ca2_e,,,M,1.00E-15,0.000100018,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,zn2_e,,,M,1.00E-15,6.9558E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,pi_e,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,o2_e,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,glc_DASH_D_e,,,M,1.00E-15,0.022202487,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,mn2_e,,,M,1.00E-15,5.91646E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,nh4_e,,,M,1.00E-15,0.001869473,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,cbl1_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,so4_e,,,M,1.00E-15,0.002123138,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,EDTA_e,,,M,1.00E-15,1.61186E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,cu2_e,,,M,1.00E-15,2.72083E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,k_e,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,succ_e,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,mobd_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,h2o_e,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,na1_e,,,M,1.00E-15,0.010467979,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,fe2_e,,,M,1.00E-15,0.00001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,fe3_e,,,M,1.00E-15,0.000369959,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,fum_e,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,H2PO4_e,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,ac_e,,,M,1.00E-15,0.006,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,cl_e,,,M,1.00E-15,0.004139817,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,mg2_e,,,M,1.00E-15,0.001994416,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,cobalt2_e,,,M,1.00E-15,2.52175E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,etoh_e,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,ni2_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,lac_DASH_D_e,,,M,1.00E-15,1.00E-15,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,co2_e,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,for_e,,,M,1.00E-15,0.001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,ca2_e,,,M,1.00E-15,0.000100018,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,zn2_e,,,M,1.00E-15,6.9558E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,pi_e,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,o2_e,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,glc_DASH_D_e,,,M,1.00E-15,0.022202487,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,mn2_e,,,M,1.00E-15,5.91646E-05,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,nh4_e,,,M,1.00E-15,0.001869473,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,cbl1_e,,,M,1.00E-15,0.000001,TRUE,TRUE,
