exp_type_id,id,metabolomics_sample_name,metabolomics_experimentor_id,extraction_method_id,acquisition_method_id,quantitation_method_id,metabolomics_is_id
4,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-3,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Filtrate-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Broth-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Broth-2,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo04EcoliGlcM9_Broth-3,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo08EcoliGlcM9_Filtrate-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo08EcoliGlcM9_Broth-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo08EcoliGlcM9_Broth-2,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo08EcoliGlcM9_Broth-3,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo09EcoliGlcM9_Filtrate-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo09EcoliGlcM9_Broth-1,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo09EcoliGlcM9_Broth-2,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_OxicEvo09EcoliGlcM9_Broth-3,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_QC-3-10x,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
4,ALEWt01,131206_0_QC-3,2,Aqueous acidic acetonitrile filtration,131015_McCloskey2013,131210,3
