Acq. Index - 1,Baseline Sub. Window,Comment,Expected RT,Experiment,Extraction Type,Group Name,IS,IS Name,Min Peak Height,Min Peak Width,Name,Noise Percentage,Peak Splitting Factor,Period,Q1 Mass - 1,Q3 Mass - 1,Regression Type,Regression Weighting,Report Largest Peak,RT Window,Smoothing Width,Units,Update RT,Use Area
1,2,,0.7,1,MRM,arg-L,TRUE,,0,3,arg-L.arg-L_1.Heavy,40,2,1,179,136,,,TRUE,30,0,uM,0,
3,2,,0.7,1,MRM,orn,TRUE,,0,3,orn.orn_1.Heavy,40,2,1,136,89,,,TRUE,30,0,uM,0,
5,2,,0.88,1,MRM,his-L,TRUE,,0,3,his-L.his-L_1.Heavy,40,2,1,160,143,,,TRUE,30,0,uM,0,
8,2,,0.92,1,MRM,asn-L,TRUE,,0,3,asn-L.asn-L_1.Heavy,40,2,1,135,118,,,TRUE,30,0,uM,0,
11,2,,0.92,1,MRM,ser-L,TRUE,,0,3,ser-L.ser-L_1.Heavy,40,2,1,107,76,,,TRUE,30,0,uM,0,
14,2,,0.93,1,MRM,citr-L,TRUE,,0,3,citr-L.citr-L_1.Heavy,40,2,1,180,136,,,TRUE,30,0,uM,0,
16,2,,0.93,1,MRM,gln-L,TRUE,,0,3,gln-L.gln-L_1.Heavy,40,2,1,150,132,,,TRUE,30,0,uM,0,
19,2,,0.94,1,MRM,Hexose_Pool_fru_glc-D,TRUE,,0,3,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Heavy,40,2,1,185,61,,,TRUE,30,0,uM,0,
22,2,,0.94,1,MRM,Lcystin,TRUE,,0,3,Lcystin.Lcystin_1.Heavy,40,2,1,245,123,,,TRUE,30,0,uM,0,
24,2,,0.94,1,MRM,thr-L,TRUE,,0,3,thr-L.thr-L_1.Heavy,40,2,1,122,76,,,TRUE,30,0,uM,0,
26,2,,0.95,1,MRM,ala-L,TRUE,,0,3,ala-L.ala-L_1.Heavy,40,2,1,91,46,,,TRUE,30,0,uM,0,
29,2,,1.15,1,MRM,cytd,TRUE,,0,3,cytd.cytd_1.Heavy,40,2,1,251,113,,,TRUE,30,0,uM,0,
31,2,,1.15,1,MRM,ura,TRUE,,0,3,ura.ura_1.Heavy,40,2,1,115,43,,,TRUE,30,0,uM,0,
33,2,,1.22,1,MRM,met-L,TRUE,,0,3,met-L.met-L_1.Heavy,40,2,1,153,48,,,TRUE,30,0,uM,0,
35,2,,1.27,1,MRM,uri,TRUE,,0,3,uri.uri_1.Heavy,40,2,1,252,43,,,TRUE,30,0,uM,0,
