sample_id,sample_label,ph,box,pos
131206_0_OxicWTEcoliGlcM9_Filtrate-2,WTF1,7,8,28
131206_0_OxicWTEcoliGlcM9_Filtrate-3,WTF1,7,8,28
131206_0_OxicWTEcoliGlcM9_Broth-4,WTB1,7,8,25
131206_0_OxicWTEcoliGlcM9_Broth-5,WTB2,7,8,26
131206_0_OxicWTEcoliGlcM9_Broth-6,WTB3,7,8,27
131206_0_OxicEvo03EcoliGlcM9_Filtrate-2,Evo03F1,7,8,32
131206_0_OxicEvo03EcoliGlcM9_Filtrate-3,Evo03F1,7,8,32
131206_0_OxicEvo03EcoliGlcM9_Broth-4,Evo03B1,7,8,29
131206_0_OxicEvo03EcoliGlcM9_Broth-5,Evo03B2,7,8,30
131206_0_OxicEvo03EcoliGlcM9_Broth-6,Evo03B3,7,8,31
131206_0_OxicEvo04EcoliGlcM9_Filtrate-2,Evo04F1,7,8,36
131206_0_OxicEvo04EcoliGlcM9_Filtrate-3,Evo04F1,7,8,36
131206_0_OxicEvo04EcoliGlcM9_Broth-4,Evo04B1,7,8,33
131206_0_OxicEvo04EcoliGlcM9_Broth-5,Evo04B2,7,8,34
131206_0_OxicEvo04EcoliGlcM9_Broth-6,Evo04B3,7,8,35
131206_0_OxicEvo08EcoliGlcM9_Filtrate-2,Evo08F1,7,8,40
131206_0_OxicEvo08EcoliGlcM9_Filtrate-3,Evo08F1,7,8,40
131206_0_OxicEvo08EcoliGlcM9_Broth-4,Evo08B1,7,8,37
131206_0_OxicEvo08EcoliGlcM9_Broth-5,Evo08B2,7,8,38
131206_0_OxicEvo08EcoliGlcM9_Broth-6,Evo08B3,7,8,39
131206_0_OxicEvo09EcoliGlcM9_Filtrate-2,Evo09F1,7,8,44
131206_0_OxicEvo09EcoliGlcM9_Filtrate-3,Evo09F1,7,8,44
131206_0_OxicEvo09EcoliGlcM9_Broth-4,Evo09B1,7,8,41
131206_0_OxicEvo09EcoliGlcM9_Broth-5,Evo09B2,7,8,42
131206_0_OxicEvo09EcoliGlcM9_Broth-6,Evo09B3,7,8,43
131206_0_QC-4,QC,7,,
131206_0_QC-5,QC,7,,
131206_0_QC-6,QC,7,,
